"","rideable_type","member_casual","year","month","monthname","rides"
"1","classic_bike","casual","2019","01","Jan",4602
"2","classic_bike","casual","2019","02","Feb",2638
"3","classic_bike","casual","2019","03","Mar",15923
"4","classic_bike","casual","2019","04","Apr",47744
"5","classic_bike","casual","2019","05","May",81624
"6","classic_bike","casual","2019","06","Jun",130218
"7","classic_bike","casual","2019","07","Jul",175632
"8","classic_bike","casual","2019","08","Aug",186889
"9","classic_bike","casual","2019","09","Sep",129173
"10","classic_bike","casual","2019","10","Oct",71035
"11","classic_bike","casual","2019","11","Nov",18729
"12","classic_bike","casual","2019","12","Dec",16430
"13","classic_bike","member","2019","01","Jan",98670
"14","classic_bike","member","2019","02","Feb",93548
"15","classic_bike","member","2019","03","Mar",149688
"16","classic_bike","member","2019","04","Apr",217566
"17","classic_bike","member","2019","05","May",285834
"18","classic_bike","member","2019","06","Jun",345177
"19","classic_bike","member","2019","07","Jul",381683
"20","classic_bike","member","2019","08","Aug",403295
"21","classic_bike","member","2019","09","Sep",364046
"22","classic_bike","member","2019","10","Oct",300751
"23","classic_bike","member","2019","11","Nov",158447
"24","classic_bike","member","2019","12","Dec",138662
