"","rideable_type","member_casual","year","month","monthname","rides"
"1","classic_bike","casual","2021","01","Jan",8259
"2","classic_bike","casual","2021","02","Feb",5695
"3","classic_bike","casual","2021","03","Mar",45528
"4","classic_bike","casual","2021","04","Apr",70776
"5","classic_bike","casual","2021","05","May",123950
"6","classic_bike","casual","2021","06","Jun",188245
"7","classic_bike","casual","2021","07","Jul",241489
"8","classic_bike","casual","2021","08","Aug",229988
"9","classic_bike","casual","2021","09","Sep",195466
"10","classic_bike","casual","2021","10","Oct",105589
"11","classic_bike","casual","2021","11","Nov",31866
"12","classic_bike","casual","2021","12","Dec",19806
"13","classic_bike","member","2021","01","Jan",53441
"14","classic_bike","member","2021","02","Feb",29317
"15","classic_bike","member","2021","03","Mar",107017
"16","classic_bike","member","2021","04","Apr",143843
"17","classic_bike","member","2021","05","May",185143
"18","classic_bike","member","2021","06","Jun",246775
"19","classic_bike","member","2021","07","Jul",265420
"20","classic_bike","member","2021","08","Aug",273045
"21","classic_bike","member","2021","09","Sep",266818
"22","classic_bike","member","2021","10","Oct",210550
"23","classic_bike","member","2021","11","Nov",122173
"24","classic_bike","member","2021","12","Dec",80829
"25","docked_bike","casual","2021","01","Jan",2105
"26","docked_bike","casual","2021","02","Feb",1271
"27","docked_bike","casual","2021","03","Mar",15657
"28","docked_bike","casual","2021","04","Apr",24714
"29","docked_bike","casual","2021","05","May",43353
"30","docked_bike","casual","2021","06","Jun",51716
"31","docked_bike","casual","2021","07","Jul",57698
"32","docked_bike","casual","2021","08","Aug",45065
"33","docked_bike","casual","2021","09","Sep",35337
"34","docked_bike","casual","2021","10","Oct",22884
"35","docked_bike","casual","2021","11","Nov",7614
"36","docked_bike","casual","2021","12","Dec",4928
"37","docked_bike","member","2021","01","Jan",1
"38","electric_bike","casual","2021","01","Jan",7753
"39","electric_bike","casual","2021","02","Feb",3165
"40","electric_bike","casual","2021","03","Mar",22848
"41","electric_bike","casual","2021","04","Apr",41111
"42","electric_bike","casual","2021","05","May",89613
"43","electric_bike","casual","2021","06","Jun",130720
"44","electric_bike","casual","2021","07","Jul",142869
"45","electric_bike","casual","2021","08","Aug",137618
"46","electric_bike","casual","2021","09","Sep",133087
"47","electric_bike","casual","2021","10","Oct",128769
"48","electric_bike","casual","2021","11","Nov",67449
"49","electric_bike","casual","2021","12","Dec",45004
"50","electric_bike","member","2021","01","Jan",25275
"51","electric_bike","member","2021","02","Feb",10174
"52","electric_bike","member","2021","03","Mar",37446
"53","electric_bike","member","2021","04","Apr",56786
"54","electric_bike","member","2021","05","May",89574
"55","electric_bike","member","2021","06","Jun",112139
"56","electric_bike","member","2021","07","Jul",114934
"57","electric_bike","member","2021","08","Aug",118636
"58","electric_bike","member","2021","09","Sep",125439
"59","electric_bike","member","2021","10","Oct",163434
"60","electric_bike","member","2021","11","Nov",130876
"61","electric_bike","member","2021","12","Dec",96973
