"","rideable_type","member_casual","year","month","monthname","rides"
"1","classic_bike","casual","2023","01","Jan",13909
"2","classic_bike","casual","2023","02","Feb",15534
"3","classic_bike","casual","2023","03","Mar",19456
"4","classic_bike","casual","2023","04","Apr",48899
"5","classic_bike","casual","2023","05","May",92598
"6","classic_bike","casual","2023","06","Jun",116594
"7","classic_bike","casual","2023","07","Jul",142882
"8","classic_bike","casual","2023","08","Aug",148594
"9","classic_bike","casual","2023","09","Sep",132236
"10","classic_bike","casual","2023","10","Oct",83166
"11","classic_bike","casual","2023","11","Nov",42549
"12","classic_bike","casual","2023","12","Dec",20464
"13","classic_bike","member","2023","01","Jan",76385
"14","classic_bike","member","2023","02","Feb",74354
"15","classic_bike","member","2023","03","Mar",87627
"16","classic_bike","member","2023","04","Apr",120839
"17","classic_bike","member","2023","05","May",177297
"18","classic_bike","member","2023","06","Jun",196952
"19","classic_bike","member","2023","07","Jul",219248
"20","classic_bike","member","2023","08","Aug",248367
"21","classic_bike","member","2023","09","Sep",215136
"22","classic_bike","member","2023","10","Oct",185197
"23","classic_bike","member","2023","11","Nov",133608
"24","classic_bike","member","2023","12","Dec",84120
"25","docked_bike","casual","2023","01","Jan",1738
"26","docked_bike","casual","2023","02","Feb",2195
"27","docked_bike","casual","2023","03","Mar",3020
"28","docked_bike","casual","2023","04","Apr",8887
"29","docked_bike","casual","2023","05","May",13092
"30","docked_bike","casual","2023","06","Jun",14974
"31","docked_bike","casual","2023","07","Jul",18424
"32","docked_bike","casual","2023","08","Aug",15957
"33","electric_bike","casual","2023","01","Jan",24361
"34","electric_bike","casual","2023","02","Feb",25287
"35","electric_bike","casual","2023","03","Mar",39725
"36","electric_bike","casual","2023","04","Apr",89499
"37","electric_bike","casual","2023","05","May",128491
"38","electric_bike","casual","2023","06","Jun",169662
"39","electric_bike","casual","2023","07","Jul",170052
"40","electric_bike","casual","2023","08","Aug",146579
"41","electric_bike","casual","2023","09","Sep",129399
"42","electric_bike","casual","2023","10","Oct",93905
"43","electric_bike","casual","2023","11","Nov",55843
"44","electric_bike","casual","2023","12","Dec",31208
"45","electric_bike","member","2023","01","Jan",73908
"46","electric_bike","member","2023","02","Feb",73075
"47","electric_bike","member","2023","03","Mar",108850
"48","electric_bike","member","2023","04","Apr",158466
"49","electric_bike","member","2023","05","May",193349
"50","electric_bike","member","2023","06","Jun",221436
"51","electric_bike","member","2023","07","Jul",217044
"52","electric_bike","member","2023","08","Aug",212196
"53","electric_bike","member","2023","09","Sep",189600
"54","electric_bike","member","2023","10","Oct",174845
"55","electric_bike","member","2023","11","Nov",130518
"56","electric_bike","member","2023","12","Dec",88281
